Lat,Lon,Alt,Year,JulianDay_Sin,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2008,0.7295575540864875,-6.26,-47.19478668,-10.4549055,-68.90803
47.54260867,7.58371693,304.73438,2008,0.2802306751992159,-6.51,-47.19496585,-9.939445,-65.02848
47.54260867,7.58371693,304.73438,2008,-0.23030567023061196,-4.36,-26.28930766,-9.502334,-61.738625
47.54260867,7.58371693,304.73438,2008,-0.6932812268869771,-4.6,-29.45637813,-9.238418,-59.752296
47.54260867,7.58371693,304.73438,2008,-0.9634705485641486,-8.79,-61.24115279,-8.656978,-55.376167
47.54260867,7.58371693,304.73438,2008,-0.970063921851507,-12.8,-91.96888229,-8.669349,-55.469276
47.54260867,7.58371693,304.73438,2008,-0.7116566222817751,-12.09,-89.88374997,-9.23017,-59.690224
47.54260867,7.58371693,304.73438,2008,-0.27195815753410524,-17.57,-134.4502205,-9.4775915,-61.552406
47.54260867,7.58371693,304.73438,2009,0.2386727660059501,-10.26,-78.8,-9.9270735,-64.93537
47.54260867,7.58371693,304.73438,2009,0.6994583270516471,-13.21,-99.3,-10.459029,-68.939064
47.54260867,7.58371693,304.73438,2009,0.9510565162951535,-11.63,-84.9,-10.66109,-70.45985
47.54260867,7.58371693,304.73438,2009,0.9760105506323683,-6.23,-47.0,-10.665214,-70.49088
47.54260867,7.58371693,304.73438,2009,0.741222010848596,-4.26,-27.1,-10.50439,-69.280464
47.54260867,7.58371693,304.73438,2009,0.29671281927349075,-5.9,-44.9,-10.0013,-65.494026
47.54260867,7.58371693,304.73438,2009,-0.2135209154397959,-4.42,-25.9,-9.539447,-62.017952
47.54260867,7.58371693,304.73438,2009,-0.680773409477016,-6.51,-44.1,-9.267283,-59.96955
47.54260867,7.58371693,304.73438,2009,-0.9587178169872964,-5.48,-34.6,-8.64873,-55.314095
47.54260867,7.58371693,304.73438,2009,-0.9741004551724206,-7.89,-55.9,-8.640483,-55.25202
47.54260867,7.58371693,304.73438,2009,-0.7236440382959123,-13.82,-102.4,-9.242541,-59.783333
47.54260867,7.58371693,304.73438,2009,-0.2884824328806098,-12.32,-90.3,-9.494086,-61.67655
47.54260867,7.58371693,304.73438,2010,0.2386727660059501,-15.69,-117.4,-9.976558,-65.30781
47.54260867,7.58371693,304.73438,2010,0.6994583270516471,-12.81,-99.3,-10.500266,-69.24943
47.54260867,7.58371693,304.73438,2010,0.9510565162951535,-12.5,-93.0,-10.735316,-71.0185
47.54260867,7.58371693,304.73438,2010,0.9760105506323683,-8.52,-58.8,-10.735316,-71.0185
47.54260867,7.58371693,304.73438,2010,0.741222010848596,-8.21,-58.2,-10.541503,-69.55979
47.54260867,7.58371693,304.73438,2010,0.29671281927349075,-8.71,-61.9,-10.04666,-65.83543
47.54260867,7.58371693,304.73438,2010,-0.2135209154397959,-5.8,-40.2,-9.57656,-62.29728
47.54260867,7.58371693,304.73438,2010,-0.680773409477016,-8.4,-60.2,-9.292026,-60.15577
47.54260867,7.58371693,304.73438,2010,-0.9587178169872964,-7.12,-48.8,-8.661101,-55.407204
