Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,O18 A,H2 A,O18 P,H2 P
47.54260867,7.58371693,304.73438,2013.0,0.9760105506323683,277.658,1.2173279e-05,-8.88,-64.1,-10.194544792175293,-74.48628997802734
47.54260867,7.58371693,304.73438,2013.0,0.741222010848596,288.3504,0.0,-9.26,-67.8,-7.4896955490112305,-51.77663803100586
47.54260867,7.58371693,304.73438,2013.0,0.29671281927349075,288.8097,5.2768388e-05,-7.45,-50.8,-6.624590873718262,-44.513301849365234
47.54260867,7.58371693,304.73438,2013.0,-0.2135209154397959,289.23734,0.0,-6.98,-49.4,-6.5955305099487305,-44.26931381225586
47.54260867,7.58371693,304.73438,2013.0,-0.680773409477016,289.8206,0.0,-5.54,-34.8,-6.445757865905762,-43.011837005615234
47.54260867,7.58371693,304.73438,2013.0,-0.9587178169872964,291.52792,0.0,-6.81,-43.0,-7.181208610534668,-49.18661117553711
47.54260867,7.58371693,304.73438,2013.0,-0.9741004551724206,284.88974,0.0,-8.19,-59.0,-8.714701652526855,-62.06167221069336
47.54260867,7.58371693,304.73438,2013.0,-0.7236440382959123,277.7871,0.0,-13.15,-96.3,-11.875575065612793,-88.60005950927734
47.54260867,7.58371693,304.73438,2013.0,-0.2884824328806098,269.7188,0.0,-17.77,-137.7,-11.973933219909668,-89.42586517333984
47.54260867,7.58371693,304.73438,2014.0,0.2386727660059501,277.30194,5.7136954e-06,-11.27,-85.7,-11.804041862487793,-87.99947357177734
47.54260867,7.58371693,304.73438,2014.0,0.6994583270516471,277.9644,0.0,-11.26,-82.7,-11.401667594909668,-84.62117767333984
47.54260867,7.58371693,304.73438,2014.0,0.9510565162951535,276.55295,0.0,-9.36,-71.0,-10.444911003112793,-76.58834075927734
47.54260867,7.58371693,304.73438,2014.0,0.9760105506323683,280.60248,2.2642824e-05,-8.42,-65.1,-9.63569164276123,-69.7942123413086
47.54260867,7.58371693,304.73438,2014.0,0.741222010848596,289.46414,0.0,-7.08,-49.1,-7.583582878112793,-52.56490707397461
47.54260867,7.58371693,304.73438,2014.0,0.29671281927349075,295.60117,3.1543033e-05,-4.38,-24.7,-6.682711601257324,-45.001277923583984
47.54260867,7.58371693,304.73438,2014.0,-0.2135209154397959,295.3235,0.0,-7.23,-50.2,-6.3630475997924805,-42.31740951538086
47.54260867,7.58371693,304.73438,2014.0,-0.680773409477016,296.42154,0.0,-5.16,-37.1,-6.275866508483887,-41.585445404052734
47.54260867,7.58371693,304.73438,2014.0,-0.9587178169872964,288.2997,3.4225584e-05,-7.54,-51.5,-7.9188947677612305,-55.38015365600586
47.54260867,7.58371693,304.73438,2014.0,-0.9741004551724206,285.54843,0.0,-6.14,-39.7,-8.656580924987793,-61.57369613647461
47.54260867,7.58371693,304.73438,2014.0,-0.7236440382959123,280.39014,0.0,-18.94,-143.9,-11.348017692565918,-84.17073822021484
47.54260867,7.58371693,304.73438,2014.0,-0.2884824328806098,276.2039,4.193858e-05,-12.78,-92.6,-12.528315544128418,-94.08040618896484
47.54260867,7.58371693,304.73438,2015.0,0.2386727660059501,276.15723,3.1357853e-05,-13.96,-103.8,-12.027583122253418,-89.87630462646484
47.54260867,7.58371693,304.73438,2015.0,0.6994583270516471,268.2487,0.0,-12.02,-92.5,-12.716090202331543,-95.65694427490234
47.54260867,7.58371693,304.73438,2015.0,0.9510565162951535,281.7189,0.0,-8.85,-68.0,-9.121546745300293,-65.47750091552734
47.54260867,7.58371693,304.73438,2015.0,0.9760105506323683,282.2176,2.31419e-05,-10.12,-75.1,-9.103663444519043,-65.32735443115234
47.54260867,7.58371693,304.73438,2015.0,0.741222010848596,288.22043,0.0,-9.68,-72.3,-7.440516471862793,-51.36373519897461
47.54260867,7.58371693,304.73438,2015.0,0.29671281927349075,288.31238,5.1457242e-05,-6.6,-44.3,-6.575411796569824,-44.100399017333984
