Lat,Lon,Alt,Temp,Precip,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
-34.05,115.0249,70.0,15.743798828125025,3.0,0.0,0.0,1.0,0.0,0.0,2013.0,0.9106046300942163,-3.47,-15.0,-3.285597562789917,-16.53028678894043
52.2914,10.4464,81.0,-0.3,22.9,0.0,0.0,1.0,0.0,0.0,2010.0,0.6994583270516471,-12.32,-94.7,-9.705965042114258,-69.65756225585938
-46.42,168.32,2.0,6.8,88.0,0.0,0.0,1.0,0.0,0.0,1988.0,-0.6932812268869771,-7.29,-47.3,-6.916337013244629,-46.24857711791992
-31.95,115.97,17.0,20.9,29.0,0.0,0.0,1.0,0.0,0.0,1964.0,-0.27195815753410524,-3.8,-16.8,-2.577239751815796,-10.540051460266113
24.91,91.84533333,20.0,27.0,229.0,0.0,0.0,1.0,0.0,0.0,2013.0,0.9760105506323683,-3.02,-21.6,-1.6924740076065063,-3.1120853424072266
25.51900833,-80.491375,1.0,22.912927246093773,66.8,1.0,0.0,0.0,0.0,0.0,2000.0,6.432490598706546e-16,-7.43,-42.9,-1.6861310005187988,-3.6501073837280273
47.67,-124.48,21.0,6.055932617187523,279.0,0.0,0.0,1.0,0.0,0.0,1965.0,-0.9741004551724206,-7.0,-47.7,-8.461758613586426,-59.362003326416016
-2.53,140.72,3.0,27.338891601562523,0.0,1.0,0.0,0.0,0.0,0.0,1984.0,-0.9634705485641486,-3.18,-22.8,-3.0022244453430176,-14.214061737060547
13.73,100.5,2.0,28.4,135.0,1.0,0.0,0.0,0.0,0.0,1978.0,-0.2135209154397959,-6.14,-36.4,-5.340274810791016,-33.420936584472656
34.71666667,10.68333333,23.0,20.9,16.0,0.0,1.0,0.0,0.0,0.0,1997.0,0.741222010848596,-8.69,-63.9,-2.8445093631744385,-12.98022174835205
48.24861111,16.35638889,198.0,15.1,33.0,0.0,0.0,0.0,1.0,0.0,1979.0,-0.9587178169872964,-9.53,-55.3,-7.2157487869262695,-49.051513671875
43.04363014,-6.248618618,1355.0,6.788415527343773,11.07049291022122,0.0,0.0,1.0,0.0,0.0,2013.0,0.741222010848596,-9.54,-64.8,-8.128363609313965,-56.60322189331055
13.07176111,-59.48972222,50.0,27.197442626953148,106.0,1.0,0.0,0.0,0.0,0.0,1986.0,-0.9587178169872964,-3.05,-17.0,-2.7172021865844727,-11.766910552978516
47.81666667,13.71777778,1618.0,15.820367431640648,23.9,0.0,0.0,0.0,1.0,0.0,2018.0,0.04302223300453059,-7.515,-45.38,-8.18916130065918,-57.10631561279297
19.53,-96.91,1390.0,24.617364501953148,545.6,0.0,0.0,1.0,0.0,0.0,2017.0,-0.9634705485641486,-10.734,-73.9,-4.733036994934082,-27.401142120361328
47.4828,11.0622,719.0,15.5,119.5,0.0,0.0,0.0,1.0,0.0,1984.0,-0.23030567023061196,-6.29,-39.9,-7.783389091491699,-56.33857727050781
48.24861111,16.35638889,198.0,1.3,25.0,0.0,0.0,0.0,1.0,0.0,1980.0,-0.27195815753410524,-15.07,-110.0,-11.857748985290527,-87.46315002441406
-21.2,-159.8,6.0,23.5,98.0,1.0,0.0,0.0,0.0,0.0,1989.0,0.29671281927349075,-3.37,-12.6,-3.6676840782165527,-19.691978454589844
-34.05,115.0249,70.0,12.986779785156273,5.6,0.0,0.0,1.0,0.0,0.0,2012.0,-0.9886775902323404,-1.76,-0.4,-3.0806148052215576,-14.957727432250977
-8.77,-63.92,105.0,24.1,187.0,1.0,0.0,0.0,0.0,0.0,1973.0,-0.9741004551724206,-5.74,-34.7,-2.1592774391174316,-7.4171905517578125
48.545,13.3528,476.0,16.1,78.2,0.0,0.0,0.0,1.0,0.0,2005.0,-0.680773409477016,-8.88,-62.8,-7.655409812927246,-52.68962097167969
4.05,114.81,24.0,24.9,65.4,1.0,0.0,0.0,0.0,0.0,2008.0,-0.6994583270516471,-15.39,-108.82,-7.818057060241699,-53.47187805175781
-7.92,-14.42,15.0,28.6,14.2,0.0,1.0,0.0,0.0,0.0,2010.0,0.9510565162951535,-0.54,7.0,-0.5348460674285889,5.516156196594238
63.37,-135.52,504.0,-20.9,8.0,0.0,0.0,0.0,1.0,0.0,1986.0,-0.7236440382959123,-23.4,-178.0,-26.649799346923828,-209.8644561767578
-34.05,115.0249,70.0,14.126794433593773,8.2,0.0,0.0,1.0,0.0,0.0,2016.0,-0.7856498550787144,-5.45,-35.0,-2.8437838554382324,-12.748600959777832
39.46666667,-6.333333333,405.0,7.3,52.0,0.0,0.0,1.0,0.0,0.0,2009.0,0.2386727660059501,-4.52,-25.21,-5.947506904602051,-38.56037521362305
4.05,114.81,24.0,25.4,22.4,1.0,0.0,0.0,0.0,0.0,2008.0,0.9911140639934547,-6.16,-38.37,-6.687747478485107,-44.68240737915039
34.01937778,-6.838286111,75.0,14.7,18.9,0.0,0.0,1.0,0.0,0.0,2002.0,-0.35367612217637207,-5.73,-36.21,-3.039825201034546,-14.37297248840332
64.13,-21.93,14.0,6.708184814453148,84.8,0.0,0.0,1.0,0.0,0.0,2017.0,0.7295575540864875,-2.894,-17.4,-7.472472190856934,-51.17585372924805
0.512102778,25.20643889,418.0,25.952752685546898,118.1,1.0,0.0,0.0,0.0,0.0,2015.0,0.2802306751992159,-1.051,7.5,-0.3108696937561035,7.299405097961426
49.7478,6.6581,265.0,2.5,25.3,0.0,0.0,1.0,0.0,0.0,2000.0,0.2386727660059501,-7.82,-52.45,-9.59162425994873,-68.71141052246094
41.02444444,40.52,136.0,10.9,141.7,0.0,0.0,1.0,0.0,0.0,2022.0,-0.2884824328806098,-8.55,-54.9,-7.643612861633301,-52.592002868652344
-2.6,-78.56666667,1720.0,13.802606201171898,330.0,0.0,0.0,1.0,0.0,0.0,1993.0,0.6994583270516471,-4.27,-21.1,-5.130377769470215,-31.79547882080078
41.78,-87.75,189.0,25.7,168.0,0.0,0.0,0.0,1.0,0.0,1966.0,-0.2135209154397959,-4.1,-24.2,-5.504878997802734,-34.894405364990234
51.93,-10.25,9.0,9.9,95.0,0.0,0.0,1.0,0.0,0.0,2021.0,-0.7236440382959123,-5.33,-31.2,-5.234196662902832,-32.482696533203125
51.6,-1.1,48.0,2.5,50.0,0.0,0.0,1.0,0.0,0.0,1996.0,0.6994583270516471,-10.5,-70.0,-7.816771507263184,-54.02486038208008
25.01666667,102.6833333,1892.0,13.302728271484398,1.3129413389833644,0.0,0.0,1.0,0.0,0.0,1992.0,0.9721181966290613,-3.91,-8.6,-4.223853588104248,-19.08932113647461
-34.23583333,142.0866667,55.0,9.7,19.6,0.0,1.0,0.0,0.0,0.0,2008.0,-0.23030567023061196,-3.88,-18.0,-4.2278733253479,-24.32743263244629
49.7478,6.6581,265.0,7.6,26.4,0.0,0.0,1.0,0.0,0.0,1978.0,0.9760105506323683,-9.31,-67.0,-7.958121299743652,-55.19450378417969
38.7,-27.34,200.0,14.0,91.0,0.0,0.0,1.0,0.0,0.0,1999.0,0.9510565162951535,-3.775,-18.15,-3.713266611099243,-20.069164276123047
49.0975,19.59,570.0,8.3,81.0,0.0,0.0,0.0,1.0,0.0,1998.0,-0.9741004551724206,-9.67,-68.3,-10.700303077697754,-77.88551330566406
52.1042,8.7519,135.0,13.6,103.1,0.0,0.0,1.0,0.0,0.0,2006.0,0.741222010848596,-6.78,-50.7,-7.55678653717041,-51.873538970947266
13.73,100.5,2.0,30.180932617187523,7.172104530036449,1.0,0.0,0.0,0.0,0.0,2022.0,-0.680773409477016,-8.34,-57.2,-6.225942611694336,-40.861061096191406
25.01666667,102.6833333,1892.0,15.4,98.0,0.0,0.0,1.0,0.0,0.0,1989.0,-0.9741004551724206,-11.25,-75.3,-9.912959098815918,-71.37039947509766
-22.94805556,17.1525,1685.0,20.9,113.0,0.0,1.0,0.0,0.0,0.0,1967.0,0.6994583270516471,-9.15,-60.0,-3.700432777404785,-19.962966918945312
-27.17,-109.43,41.0,17.7,33.8,1.0,0.0,0.0,0.0,0.0,2017.0,-0.2135209154397959,-1.55,5.1,-2.210873603820801,-7.8279876708984375
-2.883333333,-78.98333333,2510.0,15.6,30.0,0.0,0.0,1.0,0.0,0.0,1992.0,0.2802306751992159,-7.61,-51.5,-8.154804229736328,-56.43836975097656
-6.88,39.2,55.0,27.1,160.0,1.0,0.0,0.0,0.0,0.0,1961.0,0.9760105506323683,-1.0,-13.7,-3.3706321716308594,-17.233932495117188
