Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,O18 A,H2 A,O18 P,H2 P
47.54260867,7.58371693,304.73438,2010.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,8.406297e-06,-12.81,-99.3,-8.928791046142578,-63.91404724121094
47.54260867,7.58371693,304.73438,2010.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,3.4507124e-05,-12.5,-93.0,-8.877254486083984,-63.47581481933594
47.54260867,7.58371693,304.73438,2010.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,0.0,-8.52,-58.8,-8.939098358154297,-64.00169372558594
47.54260867,7.58371693,304.73438,2010.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,7.359458e-05,-8.21,-58.2,-8.815410614013672,-62.94993591308594
47.54260867,7.58371693,304.73438,2010.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,6.482423e-05,-8.71,-61.9,-8.732952117919922,-62.24876403808594
47.54260867,7.58371693,304.73438,2010.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,2.9140785e-05,-5.8,-40.2,-8.470115661621094,-60.01377868652344
47.54260867,7.58371693,304.73438,2010.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,3.2071577e-05,-8.4,-60.2,-8.315505981445312,-58.69908142089844
47.54260867,7.58371693,304.73438,2010.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,0.0,-7.12,-48.8,-7.872291564941406,-54.93028259277344
47.54260867,7.58371693,304.73438,2010.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,0.0,-10.1,-72.0,-7.84136962890625,-54.66734313964844
47.54260867,7.58371693,304.73438,2010.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,0.0,-15.21,-112.6,-8.320659637451172,-58.74290466308594
47.54260867,7.58371693,304.73438,2010.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,0.00025984913,-14.44,-105.9,-8.158319473266602,-57.36247253417969
47.54260867,7.58371693,304.73438,2011.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,2.486477e-05,-10.25,-76.7,-8.769027709960938,-62.55552673339844
47.54260867,7.58371693,304.73438,2011.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,8.3853105e-05,-12.45,-92.0,-8.799949645996094,-62.81846618652344
47.54260867,7.58371693,304.73438,2011.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,0.0,-9.17,-69.4,-8.944252014160156,-64.04551696777344
47.54260867,7.58371693,304.73438,2011.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,4.2722277e-05,-5.43,-37.3,-8.856639862060547,-63.30052185058594
47.54260867,7.58371693,304.73438,2011.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,0.0,-5.61,-36.5,-8.949405670166016,-64.08934020996094
47.54260867,7.58371693,304.73438,2011.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,0.0,-5.81,-38.2,-8.846332550048828,-63.21287536621094
47.54260867,7.58371693,304.73438,2011.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,6.4256674e-05,-6.6,-42.1,-8.403118133544922,-59.44407653808594
47.54260867,7.58371693,304.73438,2011.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,1.6929938e-05,-5.64,-39.6,-8.361888885498047,-59.09349060058594
47.54260867,7.58371693,304.73438,2011.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,0.0,-5.39,-34.7,-7.895483016967773,-55.12748718261719
47.54260867,7.58371693,304.73438,2011.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,7.503225e-05,-9.76,-69.2,-7.8207550048828125,-54.49205017089844
47.54260867,7.58371693,304.73438,2011.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,4.7757974e-05,-9.34,-65.6,-8.397964477539062,-59.40025329589844
47.54260867,7.58371693,304.73438,2012.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,1.5386211e-05,-10.04,-70.4,-8.784488677978516,-62.68699645996094
47.54260867,7.58371693,304.73438,2012.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,8.9626206e-05,-15.68,-117.5,-8.794795989990234,-62.77464294433594
47.54260867,7.58371693,304.73438,2012.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,8.00684e-05,-9.38,-68.4,-8.794795989990234,-62.77464294433594
47.54260867,7.58371693,304.73438,2012.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,0.0,-8.08,-56.7,-8.933944702148438,-63.95787048339844
47.54260867,7.58371693,304.73438,2012.0,0.7295575540864875,0.0,0.0,1.0,0.0,0.0,6.8484514e-05,-6.23,-44.0,-8.82571792602539,-63.03758239746094
47.54260867,7.58371693,304.73438,2012.0,0.2802306751992159,0.0,0.0,1.0,0.0,0.0,0.0,-6.6,-46.2,-8.841178894042969,-63.16905212402344
47.54260867,7.58371693,304.73438,2012.0,-0.23030567023061196,0.0,0.0,1.0,0.0,0.0,0.0001529035,-5.32,-32.6,-8.25881576538086,-58.21702575683594
47.54260867,7.58371693,304.73438,2012.0,-0.6932812268869771,0.0,0.0,1.0,0.0,0.0,0.0,-5.84,-37.5,-8.397964477539062,-59.40025329589844
47.54260867,7.58371693,304.73438,2012.0,-0.9634705485641486,0.0,0.0,1.0,0.0,0.0,0.00016739006,-5.62,-37.2,-7.823331832885742,-54.51396179199219
47.54260867,7.58371693,304.73438,2012.0,-0.970063921851507,0.0,0.0,1.0,0.0,0.0,9.7890144e-05,-10.79,-77.4,-7.83879280090332,-54.64543151855469
47.54260867,7.58371693,304.73438,2012.0,-0.7116566222817751,0.0,0.0,1.0,0.0,0.0,1.5424253e-05,-12.91,-96.4,-8.346427917480469,-58.96202087402344
