Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,281.7634,2.0590902e-05,-12.11,-89.32212676,-10.045701,-65.96701
47.54260867,7.58371693,304.73438,2007,0.741222010848596,284.9263,3.0439389e-05,-7.87,-56.86635214,-7.889472,-49.837585
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,290.7206,0.0,-6.28,-44.71481808,-6.830636,-41.917084
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,294.66248,0.0,-6.05,-43.8169477,-6.8454657,-42.028015
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,287.81866,0.0,-6.87,-44.13363048,-6.8988523,-42.42737
47.54260867,7.58371693,304.73438,2007,-0.9587178169872964,290.62912,0.0,-6.87,-44.13363048,-8.319531,-53.054596
47.54260867,7.58371693,304.73438,2007,-0.9741004551724206,282.2629,0.0,-8.99,-60.35032291,-9.737245,-63.659637
47.54260867,7.58371693,304.73438,2007,-0.7236440382959123,276.48398,5.4964064e-05,-10.78,-79.00926983,-11.748143,-78.701935
47.54260867,7.58371693,304.73438,2007,-0.2884824328806098,270.57297,0.0,-8.37,-57.9994607,-12.863332,-87.043976
47.54260867,7.58371693,304.73438,2008,0.2386727660059501,274.82385,0.0,-10.4,-82.10126519,-12.418443,-83.716034
47.54260867,7.58371693,304.73438,2008,0.6994583270516471,274.47092,0.0,-8.5,-62.00643014,-13.2014475,-89.57321
47.54260867,7.58371693,304.73438,2008,0.9562348265919056,277.44467,7.351558e-05,-7.88,-58.24612426,-10.876161,-72.17917
47.54260867,7.58371693,304.73438,2008,0.9721181966290613,279.4423,0.0,-10.73,-81.57874164,-10.454999,-69.02872
47.54260867,7.58371693,304.73438,2008,0.7295575540864875,283.20355,8.474604e-05,-6.26,-47.19478668,-7.89837,-49.904144
47.54260867,7.58371693,304.73438,2008,0.2802306751992159,285.68536,0.0,-6.51,-47.19496585,-6.596328,-40.164368
47.54260867,7.58371693,304.73438,2008,-0.23030567023061196,292.66156,3.541625e-05,-4.36,-26.28930766,-6.670476,-40.719025
