Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2008,0.6994583270516471,274.47092,0.0,4.4,0.73,-8.5,-62.00643014,-9.785343,-73.17133
47.54260867,7.58371693,304.73438,2008,0.9562348265919056,277.44467,7.351558e-05,2.4,0.08,-7.88,-58.24612426,-9.476797,-70.483864
47.54260867,7.58371693,304.73438,2008,0.9721181966290613,279.4423,0.0,1.1,-1.07,-10.73,-81.57874164,-8.803944,-64.62324
47.54260867,7.58371693,304.73438,2008,0.7295575540864875,283.20355,8.474604e-05,-0.1,-1.73,-6.26,-47.19478668,-6.8448625,-47.55943
47.54260867,7.58371693,304.73438,2008,0.2802306751992159,285.68536,0.0,1.0,-1.39,-6.51,-47.19496585,-6.383902,-43.544415
47.54260867,7.58371693,304.73438,2008,-0.23030567023061196,292.66156,3.541625e-05,0.5,-1.27,-4.36,-26.28930766,-5.2023087,-33.228294
47.54260867,7.58371693,304.73438,2008,-0.6932812268869771,291.2346,7.561996e-05,1.7,-1.16,-4.6,-29.45637813,-5.831865,-38.73611
47.54260867,7.58371693,304.73438,2008,-0.9634705485641486,287.47824,0.0,2.0,1.02,-8.79,-61.24115279,-7.2574964,-51.153515
47.54260867,7.58371693,304.73438,2008,-0.970063921851507,281.09518,0.0,2.1,-0.04,-12.8,-91.96888229,-8.16083,-59.02165
47.54260867,7.58371693,304.73438,2008,-0.7116566222817751,283.60846,0.0001147301,2.2,-0.32,-12.09,-89.88374997,-8.14596,-58.89213
47.54260867,7.58371693,304.73438,2008,-0.27195815753410524,281.56534,2.1500717e-05,2.4,-0.28,-17.57,-134.4502205,-8.8113785,-64.687996
47.54260867,7.58371693,304.73438,2009,0.2386727660059501,273.00406,0.0,1.8,-0.01,-10.26,-78.8,-10.733286,-81.42802
47.54260867,7.58371693,304.73438,2009,0.6994583270516471,274.93643,6.977101e-05,3.1,0.06,-13.21,-99.3,-10.075302,-75.69691
47.54260867,7.58371693,304.73438,2009,0.9510565162951535,279.04745,0.0,0.7,0.57,-11.63,-84.9,-8.577181,-62.648113
47.54260867,7.58371693,304.73438,2009,0.9760105506323683,282.61984,0.0,1.3,-0.2,-6.23,-47.0,-7.844849,-56.26942
47.54260867,7.58371693,304.73438,2009,0.741222010848596,285.68463,2.9940291e-05,-0.2,1.68,-4.26,-27.1,-6.519588,-44.726254
47.54260867,7.58371693,304.73438,2009,0.29671281927349075,292.5345,8.838454e-05,0.2,-1.21,-5.9,-44.9,-5.623689,-36.92288
47.54260867,7.58371693,304.73438,2009,-0.2135209154397959,294.64438,0.0,0.4,-2.15,-4.42,-25.9,-5.0083485,-31.52618
47.54260867,7.58371693,304.73438,2009,-0.680773409477016,290.16885,0.0001388321,-0.3,-0.19,-6.51,-44.1,-5.848593,-38.881817
47.54260867,7.58371693,304.73438,2009,-0.9587178169872964,293.65814,0.0,0.5,1.51,-5.48,-34.6,-5.5623517,-36.388622
47.54260867,7.58371693,304.73438,2009,-0.9741004551724206,280.7311,7.531765e-05,-2.0,-1.03,-7.89,-55.9,-8.662682,-63.392834
47.54260867,7.58371693,304.73438,2009,-0.7236440382959123,277.01514,5.270402e-05,-1.0,-0.02,-13.82,-102.4,-9.952627,-74.628395
47.54260867,7.58371693,304.73438,2009,-0.2884824328806098,276.80103,0.00015930833,-1.2,-1.93,-12.32,-90.3,-11.528814,-88.357155
47.54260867,7.58371693,304.73438,2010,0.2386727660059501,269.0238,0.0,-1.8,-1.11,-15.69,-117.4,-11.9526005,-92.04838
47.54260867,7.58371693,304.73438,2010,0.6994583270516471,279.15158,8.406297e-06,-2.4,-1.98,-12.81,-99.3,-8.595768,-62.81001
47.54260867,7.58371693,304.73438,2010,0.9510565162951535,271.09546,3.4507124e-05,-1.1,-0.88,-12.5,-93.0,-11.528814,-88.357155
47.54260867,7.58371693,304.73438,2010,0.9760105506323683,281.8738,0.0,2.0,-0.72,-8.52,-58.8,-8.0195675,-57.79124
47.54260867,7.58371693,304.73438,2010,0.741222010848596,286.53043,7.359458e-05,1.5,-1.49,-8.21,-58.2,-6.911776,-48.142254
47.54260867,7.58371693,304.73438,2010,0.29671281927349075,293.40024,6.482423e-05,0.6,-0.82,-8.71,-61.9,-5.573504,-36.48576
47.54260867,7.58371693,304.73438,2010,-0.2135209154397959,289.93668,2.9140785e-05,3.0,-0.42,-5.8,-40.2,-5.8653216,-39.027523
47.54260867,7.58371693,304.73438,2010,-0.680773409477016,286.29962,3.2071577e-05,3.0,-1.22,-8.4,-60.2,-7.2426267,-51.024
47.54260867,7.58371693,304.73438,2010,-0.9587178169872964,290.54236,0.0,3.7,-0.79,-7.12,-48.8,-6.4526744,-44.14343
47.54260867,7.58371693,304.73438,2010,-0.9741004551724206,285.28217,0.0,2.9,-0.93,-10.1,-72.0,-7.8560014,-56.366558
47.54260867,7.58371693,304.73438,2010,-0.7236440382959123,279.07886,0.0,2.1,-1.62,-15.21,-112.6,-9.878279,-73.98081
47.54260867,7.58371693,304.73438,2010,-0.2884824328806098,276.81036,0.00025984913,4.8,-1.85,-14.44,-105.9,-11.186811,-85.37827
47.54260867,7.58371693,304.73438,2011,0.2386727660059501,279.7453,2.486477e-05,3.8,-0.88,-10.25,-76.7,-9.183121,-67.92591
47.54260867,7.58371693,304.73438,2011,0.6994583270516471,277.4473,8.3853105e-05,4.5,0.7,-12.45,-92.0,-9.320665,-69.12394
47.54260867,7.58371693,304.73438,2011,0.9510565162951535,276.94107,0.0,4.2,0.61,-9.17,-69.4,-9.45821,-70.32197
47.54260867,7.58371693,304.73438,2011,0.9760105506323683,282.91943,4.2722277e-05,3.1,2.48,-5.43,-37.3,-7.6812825,-54.844738
47.54260867,7.58371693,304.73438,2011,0.741222010848596,282.51248,0.0,0.6,-0.06,-5.61,-36.5,-7.060473,-49.43742
47.54260867,7.58371693,304.73438,2011,0.29671281927349075,290.45352,0.0,0.4,-1.28,-5.81,-38.2,-5.7259183,-37.813305
47.54260867,7.58371693,304.73438,2011,-0.2135209154397959,285.43524,6.4256674e-05,1.6,-1.51,-6.6,-42.1,-6.763079,-46.847088
47.54260867,7.58371693,304.73438,2011,-0.680773409477016,294.61743,1.6929938e-05,0.7,-1.35,-5.64,-39.6,-5.315255,-34.21953
47.54260867,7.58371693,304.73438,2011,-0.9587178169872964,284.4807,0.0,1.7,0.54,-5.39,-34.7,-7.9452195,-57.143658
47.54260867,7.58371693,304.73438,2011,-0.9741004551724206,279.6588,7.503225e-05,1.2,0.39,-9.76,-69.2,-8.268635,-59.960644
47.54260867,7.58371693,304.73438,2011,-0.2884824328806098,274.69153,4.7757974e-05,4.1,2.52,-9.34,-65.6,-9.707277,-72.49137
47.54260867,7.58371693,304.73438,2012,0.2386727660059501,278.16486,1.5386211e-05,1.8,1.17,-10.04,-70.4,-9.487949,-70.581
47.54260867,7.58371693,304.73438,2012,0.6994583270516471,275.4526,8.9626206e-05,0.8,0.42,-15.68,-117.5,-10.123629,-76.117836
47.54260867,7.58371693,304.73438,2012,0.9562348265919056,278.16702,8.00684e-05,1.2,1.27,-9.38,-68.4,-8.807661,-64.65562
47.54260867,7.58371693,304.73438,2012,0.9721181966290613,283.52618,0.0,-0.4,0.47,-8.08,-56.7,-7.2872357,-51.412548
47.54260867,7.58371693,304.73438,2012,0.7295575540864875,288.38907,6.8484514e-05,0.1,-0.91,-6.23,-44.0,-6.4117827,-43.78726
47.54260867,7.58371693,304.73438,2012,0.2802306751992159,287.7204,0.0,-0.7,-2.53,-6.6,-46.2,-5.8523107,-38.914196
47.54260867,7.58371693,304.73438,2012,-0.23030567023061196,295.00336,0.0001529035,-0.1,-1.32,-5.32,-32.6,-4.8475027,-30.114594
47.54260867,7.58371693,304.73438,2012,-0.6932812268869771,293.85825,0.0,-0.3,-0.98,-5.84,-37.5,-5.4952984,-35.799526
47.54260867,7.58371693,304.73438,2012,-0.9634705485641486,290.492,0.00016739006,0.4,-0.59,-5.62,-37.2,-6.4080653,-43.75488
47.54260867,7.58371693,304.73438,2012,-0.970063921851507,282.7762,9.7890144e-05,0.5,-2.06,-10.79,-77.4,-8.421049,-61.28819
47.54260867,7.58371693,304.73438,2012,-0.7116566222817751,278.44324,1.5424253e-05,0.4,-0.58,-12.91,-96.4,-9.740734,-72.78278
47.54260867,7.58371693,304.73438,2013,0.2386727660059501,273.96695,0.0,-0.1,0.35,-13.28,-99.0,-10.78533,-81.881325
47.54260867,7.58371693,304.73438,2013,0.6994583270516471,273.27716,4.7669004e-05,-0.4,-0.45,-13.94,-101.5,-11.179377,-85.313515
47.54260867,7.58371693,304.73438,2013,0.9510565162951535,280.58615,0.000116469615,2.5,-1.61,-13.26,-97.4,-8.13109,-58.762615
47.54260867,7.58371693,304.73438,2013,0.9760105506323683,277.658,1.2173279e-05,0.4,0.69,-8.88,-64.1,-9.164534,-67.764015
47.54260867,7.58371693,304.73438,2013,0.741222010848596,288.3504,0.0,1.3,0.57,-9.26,-67.8,-6.6180997,-45.5843
47.54260867,7.58371693,304.73438,2013,0.29671281927349075,288.8097,5.2768388e-05,2.0,0.52,-7.45,-50.8,-5.9229417,-39.5294
47.54260867,7.58371693,304.73438,2013,-0.2135209154397959,289.23734,0.0,1.3,0.67,-6.98,-49.4,-5.6218305,-36.90669
47.54260867,7.58371693,304.73438,2013,-0.680773409477016,289.8206,0.0,0.3,0.97,-5.54,-34.8,-5.7054725,-37.63522
47.54260867,7.58371693,304.73438,2013,-0.9587178169872964,291.52792,0.0,0.5,0.24,-6.81,-43.0,-5.9694095,-39.93414
47.54260867,7.58371693,304.73438,2013,-0.9741004551724206,284.88974,0.0,-0.1,-1.28,-8.19,-59.0,-8.060459,-58.14741
47.54260867,7.58371693,304.73438,2013,-0.7236440382959123,277.7871,0.0,1.2,0.9,-13.15,-96.3,-9.361557,-69.48011
47.54260867,7.58371693,304.73438,2013,-0.2884824328806098,269.7188,0.0,0.1,0.95,-17.77,-137.7,-10.763025,-81.68705
47.54260867,7.58371693,304.73438,2014,0.2386727660059501,277.30194,5.7136954e-06,2.4,0.29,-11.27,-85.7,-9.83367,-73.59226
47.54260867,7.58371693,304.73438,2014,0.6994583270516471,277.9644,0.0,0.1,1.34,-11.26,-82.7,-9.093903,-67.14881
47.54260867,7.58371693,304.73438,2014,0.9510565162951535,276.55295,0.0,-1.5,0.8,-9.36,-71.0,-9.413601,-69.93342
47.54260867,7.58371693,304.73438,2014,0.9760105506323683,280.60248,2.2642824e-05,1.3,0.31,-8.42,-65.1,-7.859719,-56.398937
47.54260867,7.58371693,304.73438,2014,0.741222010848596,289.46414,0.0,0.9,-0.92,-7.08,-49.1,-6.569773,-45.163372
47.54260867,7.58371693,304.73438,2014,0.29671281927349075,295.60117,3.1543033e-05,0.3,-0.97,-4.38,-24.7,-5.10668,-32.38909
47.54260867,7.58371693,304.73438,2014,-0.2135209154397959,295.3235,0.0,-0.3,0.18,-7.23,-50.2,-4.5467625,-27.47543
47.54260867,7.58371693,304.73438,2014,-0.680773409477016,296.42154,0.0,-1.2,-1.68,-5.16,-37.1,-5.2191963,-33.279533
47.54260867,7.58371693,304.73438,2014,-0.9587178169872964,288.2997,3.4225584e-05,-1.2,1.62,-7.54,-51.5,-6.608806,-45.503353
47.54260867,7.58371693,304.73438,2014,-0.9741004551724206,285.54843,0.0,-1.0,-1.27,-6.14,-39.7,-7.774218,-55.654217
47.54260867,7.58371693,304.73438,2014,-0.7236440382959123,280.39014,0.0,-1.5,0.68,-18.94,-143.9,-9.060446,-66.8574
47.54260867,7.58371693,304.73438,2014,-0.2884824328806098,276.2039,4.193858e-05,-0.9,1.86,-12.78,-92.6,-10.168238,-76.506386
47.54260867,7.58371693,304.73438,2015,0.2386727660059501,276.15723,3.1357853e-05,-1.4,1.79,-13.96,-103.8,-10.119911,-76.08546
47.54260867,7.58371693,304.73438,2015,0.6994583270516471,268.2487,0.0,0.4,1.32,-12.02,-92.5,-10.510241,-79.48527
47.54260867,7.58371693,304.73438,2015,0.9510565162951535,281.7189,0.0,-1.2,1.45,-8.85,-68.0,-7.09393,-49.728832
47.54260867,7.58371693,304.73438,2015,0.9760105506323683,282.2176,2.31419e-05,-0.1,0.73,-10.12,-75.1,-7.201735,-50.667828
47.54260867,7.58371693,304.73438,2015,0.741222010848596,288.22043,0.0,-1.2,0.15,-9.68,-72.3,-6.138552,-41.40739
47.54260867,7.58371693,304.73438,2015,0.29671281927349075,288.31238,5.1457242e-05,-0.9,-0.07,-6.6,-44.3,-5.618113,-36.87431
47.54260867,7.58371693,304.73438,2015,-0.2135209154397959,293.95563,0.00013695988,-1.9,-3.18,-3.4,-26.4,-4.777893,-29.503815
47.54260867,7.58371693,304.73438,2015,-0.680773409477016,294.4896,0.0,-2.4,-0.76,-4.55,-30.0,-5.5666704,-36.267624
47.54260867,7.58371693,304.73438,2015,-0.9587178169872964,287.99283,0.0,-2.7,-0.65,-8.48,-62.9,-6.8448625,-47.55943
