Lat,Lon,Date,Alt,Precip (mm),Temp (°C),O18 (‰),H2 (‰),KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
25.01666667,102.6833333,1989-10-14 22:00:00+00:00,1892.0,98.0,15.4,-11.25,-75.3,0,0,1,0,0
-22.94805556,17.1525,1967-02-14 23:00:00+00:00,1685.0,113.0,20.9,-9.15,-60.0,0,1,0,0,0
-27.17,-109.43,2017-07-14 22:00:00+00:00,41.0,33.8,17.7,-1.55,5.1,1,0,0,0,0
-2.883333333,-78.98333333,1992-06-14 22:00:00+00:00,2510.0,30.0,15.6,-7.61,-51.5,0,0,1,0,0
-6.88,39.2,1961-04-14 22:00:00+00:00,55.0,160.0,27.1,-1.0,-13.7,1,0,0,0,0
41.733333,43.516667,2014-03-14 23:00:00+00:00,1665.0,45.0,-4.030187988281227,-13.08,-93.1,0,0,0,1,0
13.1,123.9,1993-07-14 22:00:00+00:00,150.0,0.0,27.781823730468773,-8.57,-57.2,1,0,0,0,0
48.8281,9.2,1980-04-14 22:00:00+00:00,314.0,64.2,7.1,-6.23,-48.4,0,0,1,0,0
37.77,-25.65,2018-05-14 22:00:00+00:00,175.0,4.2,16.7,-1.48,-3.0,0,0,1,0,0
-30.08,-51.18,1982-04-14 22:00:00+00:00,7.0,16.0,20.8,-4.58,-26.4,0,0,1,0,0
-34.05,115.0249,2013-06-14 07:00:00+00:00,70.0,3.4,15.983026123046898,-4.94,-40.6,0,0,1,0,0
38.05011111,23.866675,2004-04-14 22:00:00+00:00,498.0,24.6,12.3,-3.96,-24.6,0,0,1,0,0
51.6,-1.1,2018-12-15 00:00:00+00:00,48.0,60.1,2.0544372558593977,-7.923,-56.1,0,0,1,0,0
40.41666667,-7.55,2004-05-14 22:00:00+00:00,1380.0,68.0,20.881524658203148,-4.63,-30.5,0,0,1,0,0
-5.333333333,-49.13472222,1991-01-14 23:00:00+00:00,87.0,17.36455955542624,26.846337890625023,-5.24,-28.7,1,0,0,0,0
7.47,151.85,1975-10-14 22:00:00+00:00,2.0,311.0,27.2,-5.14,-29.0,1,0,0,0,0
45.80666667,15.97,2002-10-10 22:00:00+00:00,165.0,7.6,13.096002197265648,-6.27,-38.7,0,0,1,0,0
38.72,-27.33,1999-03-14 23:00:00+00:00,500.0,133.0,12.2,-5.17,-24.65,0,0,1,0,0
52.3,104.2833333,2015-09-14 22:00:00+00:00,469.0,39.1,9.4,-16.3,-127.3,0,0,0,1,0
51.77,-104.2,1981-06-14 22:00:00+00:00,561.0,93.0,15.0,-17.7,-134.0,0,0,0,1,0
-0.338055556,-77.81,1995-09-30 22:00:00+00:00,1600.0,0.0,14.408013916015648,-6.4,-41.37,0,0,1,0,0
