Lat,Lon,Alt,Date,H2,O18,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
18.23388889,-65.885,71.0,2007-01-08 23:00:00+00:00,3.5,-1.13,1,0,0,0,0
-31.48388889,145.8294444,252.0,2007-08-14 22:00:00+00:00,-9.0,-3.52,0,1,0,0,0
38.05011111,23.866675,498.0,2001-07-14 22:00:00+00:00,-37.2,-5.53,0,0,1,0,0
-7.315277778,72.42805556,1.0,1989-01-14 23:00:00+00:00,-51.4,-7.87,1,0,0,0,0
47.6772,9.19,443.0,2007-03-14 23:00:00+00:00,-96.1,-12.78,0,0,1,0,0
-22.03073263,-60.61868994,165.0,2019-11-15 03:00:00+00:00,-19.11945048,-3.606999256,0,1,0,0,0
51.93,-10.25,9.0,2006-02-14 23:00:00+00:00,-11.76,-3.67,0,0,1,0,0
51.387367,-0.325697,10.0,2021-04-16 06:00:00+00:00,-17.76,-2.89,0,0,1,0,0
-3.72,-38.55,27.0,1989-01-30 23:00:00+00:00,-7.1,-2.19,1,0,0,0,0
48.18427778,16.389575,196.0,2002-10-21 22:00:00+00:00,-56.1,-7.32,0,0,1,0,0
-40.35,-9.88,54.0,1961-10-14 22:00:00+00:00,-14.9,-2.7,0,0,1,0,0
10.00036389,-84.10913333,1173.0,2018-06-14 22:00:00+00:00,-57.08983197,-8.5196454,1,0,0,0,0
46.72738634,8.186782163,632.0,1989-10-14 22:00:00+00:00,-85.7,-11.74,0,0,0,1,0
37.97,23.72,107.0,2014-04-14 22:00:00+00:00,-15.5,-3.08,0,0,1,0,0
50.4972,9.9428,921.0,1989-04-14 22:00:00+00:00,-74.1,-10.65,0,0,0,1,0
49.0422,12.1019,365.0,1984-10-14 22:00:00+00:00,-75.2,-10.55,0,0,0,1,0
47.07777778,15.44888889,366.0,1994-10-14 22:00:00+00:00,-84.8,-11.84,0,0,0,1,0
37.77,-25.65,175.0,1974-06-14 22:00:00+00:00,-25.4,-4.4,0,0,1,0,0
34.71666667,10.68333333,23.0,2003-09-14 22:00:00+00:00,-22.3,-4.96,0,1,0,0,0
4.05,114.81,24.0,2009-08-12 22:00:00+00:00,-27.44,-5.27,1,0,0,0,0
0.05,32.45,1155.0,2018-06-14 22:00:00+00:00,8.6,-0.52,1,0,0,0,0
52.4672,13.4019,48.0,1993-02-14 23:00:00+00:00,-62.0,-8.04,0,0,1,0,0
