Lat,Lon,Alt,Temp,Precip,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
41.78,-87.75,189,25.7,168,1966,-0.213520915,-4.1,-24.2,-4.23875,-26.06925
51.93,-10.25,9,9.9,95,2021,-0.723644038,-5.33,-31.2,-4.693514,-28.681406
51.6,-1.1,48,2.5,50,1996,0.699458327,-10.5,-70,-8.599203,-62.023106
25.01666667,102.6833333,1892,13.30272827,1.312941339,1992,0.972118197,-3.91,-8.6,-3.721075,-20.011984
-34.23583333,142.0866667,55,9.7,19.6,2008,-0.23030567,-3.88,-18,-5.003694,-29.069082
49.7478,6.6581,265,7.6,26.4,1978,0.976010551,-9.31,-67,-8.240956,-59.144573
38.7,-27.34,200,14,91,1999,0.951056516,-3.775,-18.15,-3.9121652,-21.630207
49.0975,19.59,570,8.3,81,1998,-0.974100455,-9.67,-68.3,-9.712756,-68.01086
52.1042,8.7519,135,13.6,103.1,2006,0.741222011,-6.78,-50.7,-6.821744,-48.50603
13.73,100.5,2,30.18093262,7.17210453,2022,-0.680773409,-8.34,-57.2,-5.624611,-36.099663
25.01666667,102.6833333,1892,15.4,98,1989,-0.974100455,-11.25,-75.3,-9.942252,-67.028786
-22.94805556,17.1525,1685,20.9,113,1967,0.699458327,-9.15,-60,-3.7858653,-19.966211
-27.17,-109.43,41,17.7,33.8,2017,-0.213520915,-1.55,5.1,-2.075678,-5.758886
-2.883333333,-78.98333333,2510,15.6,30,1992,0.280230675,-7.61,-51.5,-9.141358,-63.758144
-6.88,39.2,55,27.1,160,1961,0.976010551,-1,-13.7,-2.783074,-9.777214
41.733333,43.516667,1665,-4.030187988,45,2014,0.951056516,-13.08,-93.1,-15.489198,-115.299675
13.1,123.9,150,27.78182373,0,1993,-0.213520915,-8.57,-57.2,-4.936825,-27.68772
48.8281,9.2,314,7.1,64.2,1980,0.972118197,-6.23,-48.4,-9.989402,-73.42843
37.77,-25.65,175,16.7,4.2,2018,0.741222011,-1.48,-3,-2.5861993,-11.470886
-30.08,-51.18,7,20.8,16,1982,0.976010551,-4.58,-26.4,-5.6192646,-35.10533
-34.05,115.0249,70,15.98302612,3.4,2013,0.296712819,-4.94,-40.6,-3.6737595,-15.42856
38.05011111,23.866675,498,12.3,24.6,2004,0.972118197,-3.96,-24.6,-5.30352,-32.678925
51.6,-1.1,48,2.054437256,60.1,2018,-0.271958158,-7.923,-56.1,-9.014901,-64.131775
40.41666667,-7.55,1380,20.88152466,68,2004,0.729557554,-4.63,-30.5,-5.42072,-33.913105
-5.333333333,-49.13472222,87,26.84633789,17.36455956,1991,0.238672766,-5.24,-28.7,-5.081463,-30.358849
7.47,151.85,2,27.2,311,1975,-0.974100455,-5.14,-29,-5.1571074,-33.861675
45.80666667,15.97,165,13.0960022,7.6,2002,-0.987349442,-6.27,-38.7,-6.856478,-47.291393
38.72,-27.33,500,12.2,133,1999,0.951056516,-5.17,-24.65,-3.753625,-20.105068
52.3,104.2833333,469,9.4,39.1,2015,-0.958717817,-16.3,-127.3,-13.19951,-100.70611
51.77,-104.2,561,15,93,1981,0.296712819,-17.7,-134,-11.9413,-89.95905
-0.338055556,-77.81,1600,14.40801392,0,1995,-0.999916659,-6.4,-41.37,-7.4847107,-48.532772
-13.8,-171.78,2,26,382,1974,0.951056516,-3.65,-19.2,-5.5344143,-33.592613
52.4672,13.4019,48,15.2,65.4,2001,0.296712819,-6.77,-50.45,-6.256551,-44.8997
64.13,-21.93,14,1.1,159.1,2018,0.699458327,-8.33,-57.1,-7.424316,-51.44901
53.23,6.55,1,5.4,68,2009,0.951056516,-7.25,-48.26,-7.838979,-55.754993
41.75,44.766667,427,25.7,22.5,2008,-0.23030567,-4.34,-24.9,-3.3006697,-16.992954
31.98,35.93,850,6.9,106,1967,0.238672766,-8.16,-37.7,-4.3638897,-20.801973
51.35,12.43,125,3.7,45,1992,0.699458327,-5.8,-41.4,-8.94467,-64.844055
49.0422,12.1019,365,1.4,43.6,1983,-0.723644038,-11.49,-82.6,-11.349032,-84.37646
48.24861111,16.35638889,198,19.1,44,2005,0.296712819,-7.11,-50.72,-5.8879385,-41.729824
11.25,75.78,20,26.9,204,2001,-0.974100455,-1.15,2,-5.8983965,-38.623905
36.88,30.7,49,18.4,121,1988,-0.970063922,-8.55,-59.6,-4.2040577,-22.041403
50.9,14.8,240,18.3,104,2013,-0.680773409,-3.58,-19.8,-6.7894115,-46.882973
19.32622222,-99.17605556,2880,14.25704346,301.3,2017,-0.23030567,-9.628,-66.9,-7.8234544,-53.385014
28.46344137,-16.2553441,35,19.6,26.5,2001,0.951056516,-2.48,-3.3,-1.2900462,-0.7772264
-67.57,-68.13,5,-11.9,119.8,2001,-0.213520915,-14.59,-113.3,-16.053875,-125.786964
