Lat,Lon,Alt,Date,H2,O18,geometry,t2m,tp
-75.58333333,-20.56666667,30.0,1977-10-14 22:00:00+00:00,-188.2,-25.41,POINT (-20.56666667 -75.58333333),245.71875,4.55776862509083e-05
-75.58333333,-20.56666667,30.0,1977-11-14 23:00:00+00:00,-168.7,-22.13,POINT (-20.56666667 -75.58333333),259.734375,1.3033549294050317e-05
-75.58333333,-20.56666667,30.0,1977-12-14 23:00:00+00:00,-139.2,-18.57,POINT (-20.56666667 -75.58333333),260.0,0.0
-75.58333333,-20.56666667,30.0,1978-01-14 23:00:00+00:00,-100.0,-14.02,POINT (-20.56666667 -75.58333333),264.8125,5.682309165422339e-06
-75.58333333,-20.56666667,30.0,1978-02-14 23:00:00+00:00,-109.6,-13.78,POINT (-20.56666667 -75.58333333),262.11456298828125,0.0
-75.58333333,-20.56666667,30.0,1978-03-14 23:00:00+00:00,-163.8,-21.49,POINT (-20.56666667 -75.58333333),253.578125,0.0
-75.58333333,-20.56666667,30.0,1978-04-14 22:00:00+00:00,-164.9,-21.41,POINT (-20.56666667 -75.58333333),252.11978149414062,6.74128532409668e-05
-75.58333333,-20.56666667,30.0,1978-07-14 22:00:00+00:00,-195.7,-22.64,POINT (-20.56666667 -75.58333333),237.4375,1.9868215517249155e-08
-75.58333333,-20.56666667,30.0,1978-09-14 22:00:00+00:00,-185.9,-25.69,POINT (-20.56666667 -75.58333333),249.91146850585938,2.125898845406482e-06
-75.58333333,-20.56666667,30.0,1978-10-14 22:00:00+00:00,-177.2,-22.26,POINT (-20.56666667 -75.58333333),258.953125,2.7815499947791977e-07
-75.58333333,-20.56666667,30.0,1978-11-14 23:00:00+00:00,-149.2,-20.34,POINT (-20.56666667 -75.58333333),255.40625,0.0
-75.58333333,-20.56666667,30.0,1978-12-14 23:00:00+00:00,-169.8,-21.71,POINT (-20.56666667 -75.58333333),264.02081298828125,0.0
-75.58333333,-20.56666667,30.0,1979-01-14 23:00:00+00:00,-80.3,-10.31,POINT (-20.56666667 -75.58333333),262.25,5.960464477539063e-08
-75.58333333,-20.56666667,30.0,1979-02-14 23:00:00+00:00,-94.9,-12.95,POINT (-20.56666667 -75.58333333),258.5,9.73542455540155e-07
-75.58333333,-20.56666667,30.0,1979-03-14 23:00:00+00:00,-138.4,-18.8,POINT (-20.56666667 -75.58333333),252.578125,9.735425692269928e-07
-75.58333333,-20.56666667,30.0,1979-04-14 22:00:00+00:00,-176.2,-22.92,POINT (-20.56666667 -75.58333333),259.1458435058594,6.556510925292969e-07
-75.58333333,-20.56666667,30.0,1979-05-14 22:00:00+00:00,-166.8,-21.18,POINT (-20.56666667 -75.58333333),238.20834350585938,0.0
-75.58333333,-20.56666667,30.0,1979-06-14 22:00:00+00:00,-193.8,-25.31,POINT (-20.56666667 -75.58333333),258.26043701171875,6.677707278868183e-05
-75.58333333,-20.56666667,30.0,1979-07-14 22:00:00+00:00,-206.7,-26.87,POINT (-20.56666667 -75.58333333),239.78646850585938,0.0
