Date	Amount(mm)	d18O	d2H
2008-02-28	1.6	-27.6	-213.5
2008-02-29	1.5	-18.1	-129
2008-03-03	5.3	-14.8	-104.9
2008-03-04	2.1	-24.5	-188.4
2008-03-06	4.1	-16.5	-122.7
2008-03-07	7	-18.4	-136.9
2008-03-10	11.9	-13.8	-100.7
2008-03-11	2.6	-16.4	-124.5
2008-03-17	1.8	-18	-133.4
2008-03-18	2.9	-21.3	-162.8
2008-03-27	2.1	-18.4	-130
2008-04-03	3.6	-9.8	-64.6
2008-04-07	8.8	-10.4	-71.9
2008-04-08	0.8	-11.4	-77.9
2008-04-09	5.5	-15.8	-114.8
2008-04-10	2.6	-15.2	-107.8
2008-04-14	9.8	-19	-143.3
2008-05-07	1.5	-9.1	-71.8
2008-06-09	5.6	-9.3	-68.2
2008-06-10	16.5	-11.8	-82.6
2008-06-11	10.5	-13.2	-97.3
2008-06-12	0.5	-12.4	-90.2
2008-06-13	7.6	-12.3	-88.3
2008-06-18	0.2	-9.4	-72.6
2008-06-23	4.3	-8	-60.3
2008-06-24	9.1	-10.6	-77
2008-06-25	1.9	-13	-100.7
2008-07-02	7	-10.1	-75.3
2008-07-04	2.15	-5.9	-49.6
2008-07-09	1.9	-7.9	-68.7
2008-07-14	0.5	-8.1	-65
2008-07-16	7.1	-11	-80.5
2008-07-18	1.4	-10.3	-86
2008-07-22	59.5	-12.9	-93
2008-08-04	8.7	-10.1	-73.5
2008-08-07	3	-10.1	-73.9
2008-08-08	22	-11.1	-83.2
2008-08-11	9.2	-12.7	-90.2
2008-08-12	3.2	-11.9	-84.2
2008-08-14	11.1	-10.5	-75.5
2008-08-18	7	-9.6	-64.6
2008-08-19	8.1	-9	-58.9
2008-08-20	6.2	-7.5	-50.3
2008-08-22	5.6	-9.2	-66.7
2008-08-26	3.5	-10.4	-75.2
2008-08-28	8.8	-12	-85.8
2008-09-01	8.2	-15.5	-115.2
2008-09-04	6.8	-10.1	-70.5
2008-09-05	6.9	-9.1	-63.3
2008-09-19	1	-11.6	-76.1
2008-09-26	1.4	-9.2	-63.8
2008-10-02	5.6	-11.5	-78.4
2008-10-06	26.4	-17.3	-123.3
2008-10-08	4.2	-11.4	-79.2
2008-10-10	2.3	-10.3	-71.2
2008-10-13	3.5	-10.3	-80.7
2008-10-18	20.5	-21.9	-168.8
2008-10-20	1.9	-14.5	-106.1
2008-10-21	5.1	-10.1	-73.1
2008-10-24	2.8	-10.7	-74.7
2008-10-27	3.9	-13.3	-97.8
2008-11-06	2.2	-11.6	-81.9
2008-11-10	6	-11.8	-84.2
2008-11-17	3.3	-15.6	-110.3
2008-11-24	5.4	-22.3	-162.9
2008-11-26	4.9	-17.3	-124.6
2008-11-28	6.1	-12.7	-91.3
2008-12-01	8.7	-17.1	-127.3
2008-12-02	1.2	-14.8	-104.5
2008-12-04	3.1	-18.5	-137.2
2008-12-09	4	-20.4	-149.2
2008-12-12	7.1	-18.8	-137.4
2008-12-15	13.3	-18.7	-138.6
2008-12-18	4	-10.3	-70.7
2008-12-22	11.4	-17.3	-131.5
