Date	Location 	Type	d18O	d2H
12/04/2021	Pallas	Snowfall	-15.95	-120.2
13/04/2021	Pallas	Snowfall	-8.75	-50.66
14/04/2021	Pallas	Snowfall	-15.47	-111.88
20/04/2021	Pallas	Snowfall	-12.19	-92.08
22/04/2021	Pallas	Snowfall	-7.65	-48.35
23/04/2021	Pallas	Snowfall	-14.58	-106.08
23/04/2021	Pallas	Snowfall	-12.21	-80.55
26/04/2021	Pallas	Snowfall	-13.47	-96.16
11/05/2021	Pallas	Rainfall	-11.62	-85.3
13/05/2021	Pallas	Rainfall	-8.36	-53.25
13/05/2021	Pallas	Rainfall	-8.4	-54.13
13/05/2021	Pallas	Rainfall	-8.75	-52.03
13/05/2021	Pallas	Rainfall	-10.62	-71.42
14/05/2021	Pallas	Rainfall	-9.3	-59.24
14/05/2021	Pallas	Rainfall	-9.18	-60.75
15/05/2021	Pallas	Rainfall	-6.96	-46.07
15/05/2021	Pallas	Rainfall	-7.35	-46.66
16/05/2021	Pallas	Rainfall	-9.35	-61.66
16/05/2021	Pallas	Rainfall	-9.65	-63.35
17/05/2021	Pallas	Rainfall	-8.78	-58.71
17/05/2021	Pallas	Rainfall	-10.15	-65.67
18/05/2021	Pallas	Rainfall	-9.89	-67.1
18/05/2021	Pallas	Rainfall	-10.02	-68.88
20/05/2021	Pallas	Rainfall	-13.29	-99.24
21/05/2021	Pallas	Rainfall	-14.11	-103.27
24/05/2021	Pallas	Rainfall	-10.45	-76.29
31/05/2021	Pallas	Rainfall	-11.63	-93.65
10/06/2021	Pallas	Rainfall	-8.64	-65.63
14/06/2021	Pallas	Rainfall	-10.97	-87.35
15/06/2021	Pallas	Rainfall	-14.28	-110.37
16/06/2021	Pallas	Rainfall	-10.63	-80.46
09/07/2021	Pallas	Rainfall	-14.14	-104.97
13/07/2021	Pallas	Rainfall	-7.9	-57.15
14/07/2021	Pallas	Rainfall	-8.72	-67.15
16/07/2021	Pallas	Rainfall	-11.16	-86.42
19/07/2021	Pallas	Rainfall	-12.21	-96.26
